u_loss 	 	 f_loss 	 	 sum_loss 
2.6242e-01 	 2.7714e+00 	 3.0339e+00 
2.5427e-01 	 2.0264e+00 	 2.2806e+00 
2.4696e-01 	 1.3107e+00 	 1.5577e+00 
2.4195e-01 	 7.2589e-01 	 9.6784e-01 
2.3953e-01 	 3.1065e-01 	 5.5017e-01 
2.3940e-01 	 7.3406e-02 	 3.1280e-01 
2.4097e-01 	 6.5669e-04 	 2.4163e-01 
2.4357e-01 	 6.1891e-02 	 3.0546e-01 
2.4652e-01 	 2.1557e-01 	 4.6209e-01 
2.4933e-01 	 4.1670e-01 	 6.6603e-01 
2.5168e-01 	 6.2452e-01 	 8.7620e-01 
2.5342e-01 	 8.0797e-01 	 1.0614e+00 
2.5453e-01 	 9.4761e-01 	 1.2021e+00 
2.5508e-01 	 1.0345e+00 	 1.2896e+00 
2.5518e-01 	 1.0678e+00 	 1.3230e+00 
2.5494e-01 	 1.0522e+00 	 1.3071e+00 
2.5444e-01 	 9.9555e-01 	 1.2500e+00 
2.5373e-01 	 9.0742e-01 	 1.1611e+00 
2.5283e-01 	 7.9765e-01 	 1.0505e+00 
2.5177e-01 	 6.7565e-01 	 9.2742e-01 
2.5056e-01 	 5.4985e-01 	 8.0041e-01 
2.4921e-01 	 4.2747e-01 	 6.7668e-01 
2.4775e-01 	 3.1441e-01 	 5.6216e-01 
2.4623e-01 	 2.1526e-01 	 4.6149e-01 
2.4470e-01 	 1.3332e-01 	 3.7802e-01 
2.4324e-01 	 7.0676e-02 	 3.1391e-01 
2.4189e-01 	 2.8234e-02 	 2.7013e-01 
2.4074e-01 	 5.8226e-03 	 2.4657e-01 
2.3983e-01 	 2.3303e-03 	 2.4216e-01 
2.3918e-01 	 1.5875e-02 	 2.5506e-01 
2.3882e-01 	 4.4005e-02 	 2.8283e-01 
2.3874e-01 	 8.3909e-02 	 3.2265e-01 
2.3890e-01 	 1.3260e-01 	 3.7150e-01 
