u_loss 	 	 f_loss 	 	 sum_loss 
2.8581e-01 	 2.7715e+00 	 3.0573e+00 
2.7612e-01 	 2.0260e+00 	 2.3021e+00 
2.6712e-01 	 1.3103e+00 	 1.5774e+00 
2.6047e-01 	 7.2545e-01 	 9.8592e-01 
2.5649e-01 	 3.1021e-01 	 5.6670e-01 
2.5489e-01 	 7.3099e-02 	 3.2798e-01 
2.5505e-01 	 7.8110e-04 	 2.5583e-01 
2.5630e-01 	 6.2809e-02 	 3.1911e-01 
2.5799e-01 	 2.1758e-01 	 4.7556e-01 
2.5964e-01 	 4.1998e-01 	 6.7962e-01 
2.6098e-01 	 6.2918e-01 	 8.9016e-01 
2.6190e-01 	 8.1404e-01 	 1.0759e+00 
2.6238e-01 	 9.5503e-01 	 1.2174e+00 
2.6253e-01 	 1.0431e+00 	 1.3057e+00 
2.6244e-01 	 1.0774e+00 	 1.3399e+00 
2.6221e-01 	 1.0625e+00 	 1.3247e+00 
2.6190e-01 	 1.0061e+00 	 1.2680e+00 
2.6153e-01 	 9.1799e-01 	 1.1795e+00 
2.6111e-01 	 8.0789e-01 	 1.0690e+00 
2.6062e-01 	 6.8533e-01 	 9.4595e-01 
2.6004e-01 	 5.5879e-01 	 8.1883e-01 
2.5936e-01 	 4.3551e-01 	 6.9487e-01 
2.5857e-01 	 3.2144e-01 	 5.8001e-01 
2.5771e-01 	 2.2117e-01 	 4.7888e-01 
2.5681e-01 	 1.3802e-01 	 3.9484e-01 
2.5594e-01 	 7.4121e-02 	 3.3006e-01 
2.5515e-01 	 3.0412e-02 	 2.8556e-01 
2.5451e-01 	 6.7712e-03 	 2.6128e-01 
2.5406e-01 	 2.1262e-03 	 2.5619e-01 
2.5386e-01 	 1.4621e-02 	 2.6848e-01 
2.5391e-01 	 4.1816e-02 	 2.9572e-01 
2.5421e-01 	 8.0898e-02 	 3.3511e-01 
2.5475e-01 	 1.2888e-01 	 3.8363e-01 
2.5549e-01 	 1.8276e-01 	 4.3825e-01 
2.5636e-01 	 2.3967e-01 	 4.9604e-01 
2.5733e-01 	 2.9697e-01 	 5.5430e-01 
2.5832e-01 	 3.5228e-01 	 6.1060e-01 
2.5927e-01 	 4.0359e-01 	 6.6286e-01 
2.6014e-01 	 4.4925e-01 	 7.0939e-01 
2.6087e-01 	 4.8798e-01 	 7.4885e-01 
2.6144e-01 	 5.1889e-01 	 7.8032e-01 
2.6181e-01 	 5.4147e-01 	 8.0328e-01 
2.6200e-01 	 5.5555e-01 	 8.1755e-01 
2.6199e-01 	 5.6128e-01 	 8.2326e-01 
2.6180e-01 	 5.5905e-01 	 8.2085e-01 
2.6146e-01 	 5.4947e-01 	 8.1093e-01 
2.6099e-01 	 5.3329e-01 	 7.9428e-01 
2.6044e-01 	 5.1136e-01 	 7.7180e-01 
