<<<<<<< HEAD
time 	 theta 	 theta_predicted 	 f_predicted
0.000 	 0.915 	 0.070 	 	 	 -0.245 
0.050 	 0.563 	 0.070 	 	 	 -0.585 
0.100 	 1.056 	 0.070 	 	 	 0.330 
0.150 	 0.663 	 0.070 	 	 	 0.241 
0.200 	 0.523 	 0.069 	 	 	 0.355 
0.250 	 0.771 	 0.069 	 	 	 0.662 
0.300 	 0.679 	 0.069 	 	 	 -0.053 
0.350 	 0.282 	 0.069 	 	 	 0.445 
0.400 	 0.307 	 0.068 	 	 	 0.561 
0.450 	 -0.252 	 0.068 	 	 	 0.036 
0.500 	 0.321 	 0.068 	 	 	 -0.311 
0.550 	 0.192 	 0.068 	 	 	 0.417 
0.600 	 0.100 	 0.067 	 	 	 0.374 
0.650 	 -0.563 	 0.067 	 	 	 -0.001 
0.700 	 -0.275 	 0.067 	 	 	 0.545 
0.750 	 -0.236 	 0.067 	 	 	 0.529 
0.800 	 -0.164 	 0.066 	 	 	 0.690 
0.850 	 -0.174 	 0.066 	 	 	 0.229 
0.900 	 0.067 	 0.066 	 	 	 -0.628 
0.950 	 -0.453 	 0.066 	 	 	 0.316 
1.000 	 -0.112 	 0.065 	 	 	 -0.225 
1.050 	 -0.114 	 0.065 	 	 	 -0.327 
1.100 	 0.155 	 0.065 	 	 	 0.558 
1.150 	 0.334 	 0.065 	 	 	 0.392 
1.200 	 0.595 	 0.064 	 	 	 -0.206 
1.250 	 0.341 	 0.064 	 	 	 0.628 
1.300 	 0.665 	 0.064 	 	 	 -0.012 
1.350 	 0.250 	 0.064 	 	 	 -0.573 
1.400 	 0.646 	 0.063 	 	 	 -0.532 
1.450 	 0.949 	 0.063 	 	 	 -0.228 
1.500 	 0.699 	 0.063 	 	 	 0.115 
1.550 	 0.874 	 0.063 	 	 	 0.164 
1.600 	 1.033 	 0.062 	 	 	 0.310 
1.650 	 1.039 	 0.062 	 	 	 0.510 
1.700 	 0.998 	 0.062 	 	 	 0.298 
1.750 	 0.785 	 0.062 	 	 	 0.053 
1.800 	 0.808 	 0.061 	 	 	 0.613 
1.850 	 0.679 	 0.061 	 	 	 -0.258 
1.900 	 0.858 	 0.061 	 	 	 -0.127 
1.950 	 1.101 	 0.061 	 	 	 -0.217 
2.000 	 0.556 	 0.060 	 	 	 -0.456 
2.050 	 0.334 	 0.060 	 	 	 -0.371 
2.100 	 0.351 	 0.060 	 	 	 -0.354 
2.150 	 -0.179 	 0.060 	 	 	 0.046 
2.200 	 0.179 	 0.059 	 	 	 0.123 
2.250 	 -0.151 	 0.059 	 	 	 -0.024 
2.300 	 -0.088 	 0.059 	 	 	 -0.162 
2.350 	 -0.132 	 0.059 	 	 	 -0.080 
2.400 	 -0.041 	 0.058 	 	 	 0.386 
2.450 	 -0.185 	 0.058 	 	 	 0.553 
2.500 	 -0.076 	 0.058 	 	 	 -0.085 
2.550 	 -0.528 	 0.058 	 	 	 -0.482 
2.600 	 -0.493 	 0.057 	 	 	 -0.610 
2.650 	 -0.186 	 0.057 	 	 	 -0.367 
2.700 	 -0.210 	 0.057 	 	 	 -0.126 
2.750 	 -0.046 	 0.057 	 	 	 0.652 
2.800 	 0.149 	 0.056 	 	 	 -0.102 
2.850 	 0.176 	 0.056 	 	 	 -0.607 
2.900 	 0.404 	 0.056 	 	 	 0.659 
2.950 	 0.706 	 0.055 	 	 	 -0.098 
3.000 	 0.301 	 0.055 	 	 	 -0.444 
3.050 	 0.570 	 0.055 	 	 	 0.313 
3.100 	 0.720 	 0.055 	 	 	 -0.631 
3.150 	 0.677 	 0.054 	 	 	 0.409 
3.200 	 0.972 	 0.054 	 	 	 0.079 
3.250 	 0.318 	 0.054 	 	 	 -0.517 
3.300 	 1.225 	 0.054 	 	 	 0.669 
3.350 	 0.600 	 0.053 	 	 	 -0.445 
3.400 	 0.870 	 0.053 	 	 	 -0.251 
3.450 	 0.957 	 0.053 	 	 	 -0.007 
3.500 	 0.637 	 0.053 	 	 	 0.213 
3.550 	 0.852 	 0.052 	 	 	 0.080 
