time 	 cos(th) 	 sin(th) 	 theta 	 theta_dot 
4.800 	 -0.775 	 0.633 	 2.457 	 	 -1.982 
4.850 	 -0.716 	 0.698 	 2.369 	 	 -1.760 
4.900 	 -0.662 	 0.749 	 2.294 	 	 -1.488 
4.950 	 -0.617 	 0.787 	 2.236 	 	 -1.177 
5.000 	 -0.583 	 0.812 	 2.194 	 	 -0.838 
5.050 	 -0.564 	 0.826 	 2.170 	 	 -0.481 
5.100 	 -0.559 	 0.829 	 2.164 	 	 -0.113 
5.150 	 -0.570 	 0.822 	 2.177 	 	 0.257 
5.200 	 -0.595 	 0.804 	 2.208 	 	 0.622 
5.250 	 -0.633 	 0.774 	 2.257 	 	 0.974 
5.300 	 -0.682 	 0.731 	 2.322 	 	 1.302 
5.350 	 -0.739 	 0.674 	 2.402 	 	 1.599 
5.400 	 -0.798 	 0.603 	 2.494 	 	 1.853 
5.450 	 -0.855 	 0.518 	 2.597 	 	 2.054 
5.500 	 -0.907 	 0.421 	 2.707 	 	 2.191 
5.550 	 -0.949 	 0.317 	 2.819 	 	 2.255 
5.600 	 -0.978 	 0.209 	 2.931 	 	 2.241 
5.650 	 -0.995 	 0.103 	 3.039 	 	 2.146 
5.700 	 -1.000 	 0.004 	 3.137 	 	 1.971 
5.750 	 -0.997 	 -0.082 	 3.060 	 	 1.723 
5.800 	 -0.988 	 -0.152 	 2.989 	 	 1.410 
5.850 	 -0.979 	 -0.203 	 2.937 	 	 1.045 
5.900 	 -0.972 	 -0.234 	 2.905 	 	 0.641 
5.950 	 -0.970 	 -0.245 	 2.894 	 	 0.213 
6.000 	 -0.972 	 -0.234 	 2.905 	 	 -0.222 
6.050 	 -0.979 	 -0.202 	 2.938 	 	 -0.649 
6.100 	 -0.989 	 -0.151 	 2.990 	 	 -1.052 
6.150 	 -0.997 	 -0.080 	 3.061 	 	 -1.417 
6.200 	 -1.000 	 0.006 	 3.135 	 	 -1.729 
6.250 	 -0.995 	 0.105 	 3.037 	 	 -1.976 
6.300 	 -0.978 	 0.211 	 2.929 	 	 -2.149 
6.350 	 -0.948 	 0.319 	 2.817 	 	 -2.242 
6.400 	 -0.906 	 0.423 	 2.704 	 	 -2.255 
6.450 	 -0.854 	 0.520 	 2.595 	 	 -2.189 
6.500 	 -0.797 	 0.604 	 2.492 	 	 -2.050 
6.550 	 -0.737 	 0.675 	 2.400 	 	 -1.849 
6.600 	 -0.681 	 0.732 	 2.320 	 	 -1.594 
6.650 	 -0.632 	 0.775 	 2.256 	 	 -1.296 
6.700 	 -0.594 	 0.804 	 2.207 	 	 -0.967 
6.750 	 -0.569 	 0.822 	 2.176 	 	 -0.615 
6.800 	 -0.559 	 0.829 	 2.164 	 	 -0.250 
6.850 	 -0.564 	 0.826 	 2.170 	 	 0.120 
6.900 	 -0.584 	 0.812 	 2.194 	 	 0.488 
6.950 	 -0.618 	 0.786 	 2.237 	 	 0.845 
7.000 	 -0.663 	 0.749 	 2.296 	 	 1.183 
7.050 	 -0.717 	 0.697 	 2.370 	 	 1.493 
7.100 	 -0.776 	 0.631 	 2.459 	 	 1.764 
7.150 	 -0.834 	 0.551 	 2.558 	 	 1.986 
7.200 	 -0.889 	 0.458 	 2.665 	 	 2.148 
7.250 	 -0.934 	 0.356 	 2.777 	 	 2.240 
7.300 	 -0.969 	 0.249 	 2.890 	 	 2.256 
7.350 	 -0.990 	 0.141 	 3.000 	 	 2.191 
7.400 	 -0.999 	 0.040 	 3.102 	 	 2.045 
7.450 	 -0.999 	 -0.051 	 3.090 	 	 1.824 
7.500 	 -0.992 	 -0.128 	 3.013 	 	 1.533 
7.550 	 -0.982 	 -0.186 	 2.954 	 	 1.186 
7.600 	 -0.974 	 -0.225 	 2.914 	 	 0.795 
7.650 	 -0.970 	 -0.243 	 2.896 	 	 0.374 
7.700 	 -0.971 	 -0.241 	 2.899 	 	 -0.060 
7.750 	 -0.976 	 -0.217 	 2.923 	 	 -0.492 
7.800 	 -0.985 	 -0.172 	 2.969 	 	 -0.906 
7.850 	 -0.994 	 -0.108 	 3.033 	 	 -1.287 
7.900 	 -1.000 	 -0.028 	 3.114 	 	 -1.620 
7.950 	 -0.998 	 0.067 	 3.075 	 	 -1.892 
8.000 	 -0.985 	 0.171 	 2.970 	 	 -2.093 
8.050 	 -0.960 	 0.279 	 2.859 	 	 -2.217 
8.100 	 -0.923 	 0.385 	 2.746 	 	 -2.259 
8.150 	 -0.874 	 0.485 	 2.635 	 	 -2.222 
8.200 	 -0.818 	 0.575 	 2.530 	 	 -2.110 
8.250 	 -0.759 	 0.651 	 2.433 	 	 -1.931 
8.300 	 -0.702 	 0.713 	 2.348 	 	 -1.694 
8.350 	 -0.650 	 0.760 	 2.278 	 	 -1.411 
8.400 	 -0.607 	 0.795 	 2.223 	 	 -1.093 
8.450 	 -0.577 	 0.817 	 2.186 	 	 -0.748 
8.500 	 -0.561 	 0.828 	 2.166 	 	 -0.387 
8.550 	 -0.560 	 0.828 	 2.166 	 	 -0.018 
8.600 	 -0.575 	 0.818 	 2.183 	 	 0.352 
8.650 	 -0.604 	 0.797 	 2.219 	 	 0.714 
8.700 	 -0.645 	 0.764 	 2.272 	 	 1.060 
8.750 	 -0.696 	 0.718 	 2.341 	 	 1.382 
8.800 	 -0.754 	 0.657 	 2.424 	 	 1.669 
8.850 	 -0.813 	 0.582 	 2.520 	 	 1.910 
8.900 	 -0.869 	 0.494 	 2.625 	 	 2.095 
8.950 	 -0.919 	 0.395 	 2.735 	 	 2.214 
9.000 	 -0.957 	 0.289 	 2.848 	 	 2.259 
9.050 	 -0.983 	 0.181 	 2.960 	 	 2.224 
9.100 	 -0.997 	 0.077 	 3.065 	 	 2.109 
9.150 	 -1.000 	 -0.019 	 3.122 	 	 1.915 
9.200 	 -0.995 	 -0.101 	 3.040 	 	 1.649 
9.250 	 -0.986 	 -0.167 	 2.974 	 	 1.321 
9.300 	 -0.977 	 -0.213 	 2.927 	 	 0.944 
9.350 	 -0.971 	 -0.239 	 2.900 	 	 0.533 
9.400 	 -0.970 	 -0.244 	 2.895 	 	 0.102 
9.450 	 -0.974 	 -0.228 	 2.912 	 	 -0.333 
9.500 	 -0.982 	 -0.191 	 2.949 	 	 -0.755 
9.550 	 -0.991 	 -0.134 	 3.007 	 	 -1.150 
9.600 	 -0.998 	 -0.060 	 3.082 	 	 -1.502 
9.650 	 -1.000 	 0.030 	 3.111 	 	 -1.798 
9.700 	 -0.991 	 0.131 	 3.010 	 	 -2.027 
9.750 	 -0.971 	 0.238 	 2.901 	 	 -2.180 
9.800 	 -0.938 	 0.346 	 2.788 	 	 -2.253 
9.850 	 -0.894 	 0.449 	 2.676 	 	 -2.245 
9.900 	 -0.840 	 0.543 	 2.568 	 	 -2.160 
9.950 	 -0.781 	 0.624 	 2.468 	 	 -2.004 
10.000 	 -0.723 	 0.691 	 2.378 	 	 -1.788 
10.050 	 -0.668 	 0.744 	 2.302 	 	 -1.521 
10.100 	 -0.622 	 0.783 	 2.242 	 	 -1.215 
10.150 	 -0.587 	 0.810 	 2.198 	 	 -0.879 
10.200 	 -0.565 	 0.825 	 2.171 	 	 -0.523 
10.250 	 -0.559 	 0.829 	 2.164 	 	 -0.156 
10.300 	 -0.568 	 0.823 	 2.174 	 	 0.215 
10.350 	 -0.591 	 0.806 	 2.203 	 	 0.581 
10.400 	 -0.628 	 0.778 	 2.250 	 	 0.934 
10.450 	 -0.676 	 0.737 	 2.313 	 	 1.266 
10.500 	 -0.732 	 0.681 	 2.392 	 	 1.567 
10.550 	 -0.791 	 0.612 	 2.483 	 	 1.826 
10.600 	 -0.849 	 0.528 	 2.585 	 	 2.034 
10.650 	 -0.901 	 0.433 	 2.694 	 	 2.178 
10.700 	 -0.944 	 0.329 	 2.806 	 	 2.252 
10.750 	 -0.975 	 0.221 	 2.919 	 	 2.247 
10.800 	 -0.993 	 0.115 	 3.027 	 	 2.161 
10.850 	 -1.000 	 0.015 	 3.126 	 	 1.996 
10.900 	 -0.997 	 -0.073 	 3.069 	 	 1.755 
10.950 	 -0.989 	 -0.145 	 2.996 	 	 1.449 
11.000 	 -0.980 	 -0.198 	 2.942 	 	 1.089 
11.050 	 -0.973 	 -0.232 	 2.908 	 	 0.689 
11.100 	 -0.970 	 -0.245 	 2.894 	 	 0.263 
11.150 	 -0.972 	 -0.236 	 2.903 	 	 -0.172 
11.200 	 -0.978 	 -0.207 	 2.933 	 	 -0.600 
