time 	 cos(th) 	 sin(th) 	 theta 	 theta_dot 
517.200 	 -0.562 	 0.827 	 2.167 	 	 -0.410 
517.250 	 -0.560 	 0.829 	 2.165 	 	 -0.041 
517.300 	 -0.573 	 0.819 	 2.181 	 	 0.329 
517.350 	 -0.601 	 0.799 	 2.216 	 	 0.692 
517.400 	 -0.642 	 0.767 	 2.268 	 	 1.039 
517.450 	 -0.693 	 0.721 	 2.336 	 	 1.363 
517.500 	 -0.750 	 0.662 	 2.419 	 	 1.652 
517.550 	 -0.809 	 0.588 	 2.514 	 	 1.897 
517.600 	 -0.866 	 0.500 	 2.618 	 	 2.086 
517.650 	 -0.916 	 0.402 	 2.728 	 	 2.209 
517.700 	 -0.955 	 0.296 	 2.841 	 	 2.259 
517.750 	 -0.982 	 0.188 	 2.953 	 	 2.229 
517.800 	 -0.997 	 0.083 	 3.059 	 	 2.118 
517.850 	 -1.000 	 -0.013 	 3.128 	 	 1.929 
517.900 	 -0.995 	 -0.097 	 3.045 	 	 1.667 
517.950 	 -0.987 	 -0.163 	 2.978 	 	 1.343 
518.000 	 -0.978 	 -0.211 	 2.929 	 	 0.969 
518.050 	 -0.971 	 -0.238 	 2.901 	 	 0.559 
518.100 	 -0.970 	 -0.244 	 2.895 	 	 0.129 
518.150 	 -0.973 	 -0.230 	 2.910 	 	 -0.306 
518.200 	 -0.981 	 -0.194 	 2.946 	 	 -0.729 
518.250 	 -0.990 	 -0.138 	 3.003 	 	 -1.126 
518.300 	 -0.998 	 -0.065 	 3.077 	 	 -1.482 
518.350 	 -1.000 	 0.024 	 3.117 	 	 -1.782 
518.400 	 -0.992 	 0.125 	 3.016 	 	 -2.015 
518.450 	 -0.973 	 0.232 	 2.908 	 	 -2.173 
518.500 	 -0.941 	 0.339 	 2.795 	 	 -2.251 
518.550 	 -0.897 	 0.443 	 2.683 	 	 -2.248 
518.600 	 -0.843 	 0.537 	 2.574 	 	 -2.167 
518.650 	 -0.785 	 0.619 	 2.474 	 	 -2.016 
518.700 	 -0.726 	 0.688 	 2.384 	 	 -1.803 
518.750 	 -0.671 	 0.741 	 2.307 	 	 -1.539 
518.800 	 -0.624 	 0.781 	 2.245 	 	 -1.235 
518.850 	 -0.588 	 0.809 	 2.200 	 	 -0.900 
518.900 	 -0.566 	 0.824 	 2.173 	 	 -0.545 
518.950 	 -0.559 	 0.829 	 2.164 	 	 -0.179 
519.000 	 -0.567 	 0.824 	 2.173 	 	 0.192 
519.050 	 -0.589 	 0.808 	 2.201 	 	 0.558 
519.100 	 -0.626 	 0.780 	 2.247 	 	 0.912 
519.150 	 -0.673 	 0.740 	 2.309 	 	 1.246 
519.200 	 -0.728 	 0.685 	 2.386 	 	 1.549 
519.250 	 -0.787 	 0.617 	 2.477 	 	 1.812 
519.300 	 -0.845 	 0.534 	 2.578 	 	 2.022 
519.350 	 -0.898 	 0.439 	 2.687 	 	 2.171 
519.400 	 -0.942 	 0.336 	 2.799 	 	 2.249 
519.450 	 -0.974 	 0.228 	 2.912 	 	 2.250 
519.500 	 -0.993 	 0.121 	 3.020 	 	 2.169 
519.550 	 -1.000 	 0.021 	 3.121 	 	 2.008 
519.600 	 -0.998 	 -0.068 	 3.074 	 	 1.772 
519.650 	 -0.990 	 -0.141 	 3.001 	 	 1.470 
519.700 	 -0.981 	 -0.195 	 2.945 	 	 1.113 
519.750 	 -0.973 	 -0.230 	 2.909 	 	 0.715 
519.800 	 -0.970 	 -0.245 	 2.895 	 	 0.291 
519.850 	 -0.971 	 -0.238 	 2.902 	 	 -0.144 
519.900 	 -0.978 	 -0.210 	 2.931 	 	 -0.574 
519.950 	 -0.987 	 -0.161 	 2.980 	 	 -0.983 
520.000 	 -0.996 	 -0.094 	 3.047 	 	 -1.355 
520.050 	 -1.000 	 -0.010 	 3.131 	 	 -1.677 
520.100 	 -0.996 	 0.086 	 3.055 	 	 -1.937 
520.150 	 -0.981 	 0.192 	 2.949 	 	 -2.124 
520.200 	 -0.954 	 0.300 	 2.837 	 	 -2.231 
520.250 	 -0.914 	 0.405 	 2.724 	 	 -2.258 
520.300 	 -0.864 	 0.503 	 2.614 	 	 -2.206 
520.350 	 -0.807 	 0.590 	 2.510 	 	 -2.080 
520.400 	 -0.748 	 0.664 	 2.416 	 	 -1.889 
520.450 	 -0.691 	 0.723 	 2.334 	 	 -1.643 
520.500 	 -0.640 	 0.768 	 2.266 	 	 -1.352 
520.550 	 -0.600 	 0.800 	 2.215 	 	 -1.027 
520.600 	 -0.573 	 0.820 	 2.181 	 	 -0.679 
520.650 	 -0.560 	 0.829 	 2.165 	 	 -0.316 
520.700 	 -0.562 	 0.827 	 2.167 	 	 0.054 
520.750 	 -0.579 	 0.815 	 2.189 	 	 0.423 
520.800 	 -0.611 	 0.792 	 2.228 	 	 0.783 
520.850 	 -0.654 	 0.756 	 2.284 	 	 1.125 
520.900 	 -0.707 	 0.707 	 2.356 	 	 1.441 
520.950 	 -0.765 	 0.644 	 2.442 	 	 1.719 
521.000 	 -0.824 	 0.566 	 2.540 	 	 1.951 
521.050 	 -0.880 	 0.476 	 2.646 	 	 2.124 
521.100 	 -0.927 	 0.375 	 2.757 	 	 2.229 
521.150 	 -0.963 	 0.268 	 2.870 	 	 2.259 
521.200 	 -0.987 	 0.160 	 2.981 	 	 2.208 
521.250 	 -0.998 	 0.057 	 3.084 	 	 2.077 
521.300 	 -0.999 	 -0.036 	 3.105 	 	 1.868 
521.350 	 -0.993 	 -0.115 	 3.026 	 	 1.590 
521.400 	 -0.984 	 -0.177 	 2.963 	 	 1.251 
521.450 	 -0.976 	 -0.220 	 2.920 	 	 0.867 
521.500 	 -0.970 	 -0.242 	 2.897 	 	 0.450 
521.550 	 -0.970 	 -0.243 	 2.897 	 	 0.018 
521.600 	 -0.975 	 -0.222 	 2.917 	 	 -0.416 
521.650 	 -0.983 	 -0.181 	 2.959 	 	 -0.834 
521.700 	 -0.993 	 -0.121 	 3.020 	 	 -1.222 
521.750 	 -0.999 	 -0.043 	 3.098 	 	 -1.564 
521.800 	 -0.999 	 0.049 	 3.092 	 	 -1.848 
521.850 	 -0.988 	 0.152 	 2.989 	 	 -2.063 
521.900 	 -0.966 	 0.259 	 2.879 	 	 -2.201 
521.950 	 -0.930 	 0.367 	 2.766 	 	 -2.258 
522.000 	 -0.884 	 0.468 	 2.655 	 	 -2.234 
522.050 	 -0.829 	 0.560 	 2.548 	 	 -2.135 
522.100 	 -0.770 	 0.638 	 2.449 	 	 -1.967 
522.150 	 -0.712 	 0.703 	 2.362 	 	 -1.740 
522.200 	 -0.658 	 0.753 	 2.289 	 	 -1.464 
522.250 	 -0.614 	 0.789 	 2.232 	 	 -1.151 
522.300 	 -0.581 	 0.814 	 2.191 	 	 -0.811 
522.350 	 -0.563 	 0.827 	 2.169 	 	 -0.452 
522.400 	 -0.559 	 0.829 	 2.164 	 	 -0.084 
522.450 	 -0.571 	 0.821 	 2.179 	 	 0.286 
522.500 	 -0.597 	 0.802 	 2.211 	 	 0.650 
522.550 	 -0.637 	 0.771 	 2.261 	 	 1.000 
522.600 	 -0.687 	 0.727 	 2.328 	 	 1.327 
522.650 	 -0.743 	 0.669 	 2.409 	 	 1.621 
522.700 	 -0.802 	 0.597 	 2.502 	 	 1.871 
522.750 	 -0.860 	 0.511 	 2.605 	 	 2.067 
522.800 	 -0.911 	 0.413 	 2.715 	 	 2.198 
522.850 	 -0.951 	 0.308 	 2.828 	 	 2.257 
522.900 	 -0.980 	 0.200 	 2.940 	 	 2.237 
522.950 	 -0.996 	 0.095 	 3.047 	 	 2.135 
523.000 	 -1.000 	 -0.003 	 3.139 	 	 1.955 
523.050 	 -0.996 	 -0.088 	 3.054 	 	 1.701 
523.100 	 -0.988 	 -0.157 	 2.984 	 	 1.383 
523.150 	 -0.978 	 -0.206 	 2.934 	 	 1.014 
523.200 	 -0.972 	 -0.236 	 2.903 	 	 0.608 
523.250 	 -0.970 	 -0.245 	 2.894 	 	 0.179 
523.300 	 -0.973 	 -0.232 	 2.907 	 	 -0.256 
523.350 	 -0.980 	 -0.199 	 2.941 	 	 -0.682 
523.400 	 -0.989 	 -0.146 	 2.995 	 	 -1.082 
523.450 	 -0.997 	 -0.074 	 3.067 	 	 -1.443 
523.500 	 -1.000 	 0.013 	 3.128 	 	 -1.750 
523.550 	 -0.994 	 0.113 	 3.029 	 	 -1.992 
523.600 	 -0.976 	 0.219 	 2.921 	 	 -2.159 
523.650 	 -0.945 	 0.327 	 2.808 	 	 -2.246 
523.700 	 -0.902 	 0.431 	 2.696 	 	 -2.252 
523.750 	 -0.850 	 0.527 	 2.587 	 	 -2.180 
523.800 	 -0.792 	 0.611 	 2.485 	 	 -2.037 
523.850 	 -0.733 	 0.680 	 2.393 	 	 -1.831 
523.900 	 -0.677 	 0.736 	 2.315 	 	 -1.572 
523.950 	 -0.629 	 0.777 	 2.251 	 	 -1.272 
524.000 	 -0.592 	 0.806 	 2.204 	 	 -0.940 
524.050 	 -0.568 	 0.823 	 2.175 	 	 -0.587 
524.100 	 -0.559 	 0.829 	 2.164 	 	 -0.221 
524.150 	 -0.565 	 0.825 	 2.171 	 	 0.149 
524.200 	 -0.586 	 0.810 	 2.197 	 	 0.516 
524.250 	 -0.621 	 0.784 	 2.241 	 	 0.872 
524.300 	 -0.667 	 0.745 	 2.301 	 	 1.209 
524.350 	 -0.722 	 0.692 	 2.377 	 	 1.516 
524.400 	 -0.780 	 0.625 	 2.466 	 	 1.784 
524.450 	 -0.839 	 0.544 	 2.566 	 	 2.001 
524.500 	 -0.893 	 0.451 	 2.674 	 	 2.158 
524.550 	 -0.937 	 0.348 	 2.786 	 	 2.244 
524.600 	 -0.971 	 0.240 	 2.899 	 	 2.254 
524.650 	 -0.991 	 0.133 	 3.008 	 	 2.182 
524.700 	 -0.999 	 0.032 	 3.109 	 	 2.031 
524.750 	 -0.998 	 -0.058 	 3.084 	 	 1.803 
524.800 	 -0.991 	 -0.133 	 3.008 	 	 1.508 
524.850 	 -0.982 	 -0.190 	 2.950 	 	 1.157 
524.900 	 -0.974 	 -0.227 	 2.912 	 	 0.763 
524.950 	 -0.970 	 -0.244 	 2.895 	 	 0.340 
525.000 	 -0.971 	 -0.239 	 2.900 	 	 -0.094 
525.050 	 -0.977 	 -0.214 	 2.926 	 	 -0.525 
525.100 	 -0.986 	 -0.168 	 2.973 	 	 -0.937 
525.150 	 -0.995 	 -0.103 	 3.039 	 	 -1.315 
525.200 	 -1.000 	 -0.021 	 3.121 	 	 -1.643 
525.250 	 -0.997 	 0.075 	 3.067 	 	 -1.910 
525.300 	 -0.984 	 0.179 	 2.961 	 	 -2.106 
525.350 	 -0.958 	 0.287 	 2.850 	 	 -2.223 
525.400 	 -0.919 	 0.393 	 2.737 	 	 -2.259 
525.450 	 -0.870 	 0.493 	 2.627 	 	 -2.216 
525.500 	 -0.814 	 0.581 	 2.522 	 	 -2.098 
525.550 	 -0.755 	 0.656 	 2.426 	 	 -1.914 
525.600 	 -0.697 	 0.717 	 2.342 	 	 -1.673 
525.650 	 -0.646 	 0.763 	 2.273 	 	 -1.387 
525.700 	 -0.604 	 0.797 	 2.220 	 	 -1.066 
525.750 	 -0.575 	 0.818 	 2.184 	 	 -0.720 
525.800 	 -0.560 	 0.828 	 2.166 	 	 -0.358 
525.850 	 -0.561 	 0.828 	 2.166 	 	 0.011 
525.900 	 -0.577 	 0.817 	 2.185 	 	 0.381 
525.950 	 -0.606 	 0.795 	 2.222 	 	 0.742 
526.000 	 -0.649 	 0.761 	 2.277 	 	 1.087 
526.050 	 -0.701 	 0.714 	 2.347 	 	 1.406 
526.100 	 -0.758 	 0.652 	 2.431 	 	 1.689 
526.150 	 -0.817 	 0.576 	 2.528 	 	 1.927 
526.200 	 -0.873 	 0.487 	 2.633 	 	 2.107 
526.250 	 -0.922 	 0.387 	 2.744 	 	 2.221 
526.300 	 -0.960 	 0.281 	 2.857 	 	 2.259 
526.350 	 -0.985 	 0.173 	 2.968 	 	 2.218 
526.400 	 -0.998 	 0.069 	 3.073 	 	 2.096 
526.450 	 -1.000 	 -0.026 	 3.115 	 	 1.896 
526.500 	 -0.994 	 -0.107 	 3.034 	 	 1.625 
526.550 	 -0.985 	 -0.171 	 2.970 	 	 1.293 
526.600 	 -0.976 	 -0.216 	 2.924 	 	 0.913 
526.650 	 -0.971 	 -0.240 	 2.899 	 	 0.500 
526.700 	 -0.970 	 -0.244 	 2.896 	 	 0.068 
526.750 	 -0.974 	 -0.226 	 2.914 	 	 -0.366 
526.800 	 -0.982 	 -0.187 	 2.953 	 	 -0.787 
526.850 	 -0.992 	 -0.129 	 3.012 	 	 -1.179 
526.900 	 -0.999 	 -0.053 	 3.089 	 	 -1.528 
526.950 	 -0.999 	 0.038 	 3.104 	 	 -1.819 
527.000 	 -0.990 	 0.140 	 3.002 	 	 -2.042 
527.050 	 -0.969 	 0.247 	 2.892 	 	 -2.189 
527.100 	 -0.935 	 0.354 	 2.779 	 	 -2.255 
527.150 	 -0.890 	 0.457 	 2.667 	 	 -2.241 
527.200 	 -0.835 	 0.550 	 2.560 	 	 -2.150 
527.250 	 -0.777 	 0.630 	 2.460 	 	 -1.990 
527.300 	 -0.718 	 0.696 	 2.372 	 	 -1.769 
527.350 	 -0.664 	 0.748 	 2.297 	 	 -1.498 
527.400 	 -0.618 	 0.786 	 2.237 	 	 -1.189 
527.450 	 -0.584 	 0.811 	 2.195 	 	 -0.851 
527.500 	 -0.564 	 0.826 	 2.170 	 	 -0.494 
527.550 	 -0.559 	 0.829 	 2.164 	 	 -0.127 
527.600 	 -0.569 	 0.822 	 2.176 	 	 0.244 
527.650 	 -0.594 	 0.805 	 2.206 	 	 0.609 
527.700 	 -0.632 	 0.775 	 2.255 	 	 0.961 
527.750 	 -0.680 	 0.733 	 2.319 	 	 1.291 
527.800 	 -0.736 	 0.677 	 2.399 	 	 1.589 
527.850 	 -0.796 	 0.606 	 2.491 	 	 1.845 
527.900 	 -0.853 	 0.521 	 2.593 	 	 2.047 
527.950 	 -0.905 	 0.425 	 2.702 	 	 2.187 
528.000 	 -0.947 	 0.321 	 2.815 	 	 2.254 
528.050 	 -0.977 	 0.213 	 2.927 	 	 2.243 
528.100 	 -0.994 	 0.107 	 3.035 	 	 2.151 
528.150 	 -1.000 	 0.008 	 3.134 	 	 1.979 
528.200 	 -0.997 	 -0.079 	 3.063 	 	 1.734 
528.250 	 -0.989 	 -0.150 	 2.992 	 	 1.423 
528.300 	 -0.979 	 -0.202 	 2.939 	 	 1.059 
528.350 	 -0.972 	 -0.234 	 2.906 	 	 0.656 
528.400 	 -0.970 	 -0.245 	 2.894 	 	 0.230 
528.450 	 -0.972 	 -0.235 	 2.905 	 	 -0.206 
528.500 	 -0.979 	 -0.204 	 2.936 	 	 -0.633 
528.550 	 -0.988 	 -0.153 	 2.988 	 	 -1.038 
528.600 	 -0.997 	 -0.083 	 3.058 	 	 -1.404 
528.650 	 -1.000 	 0.003 	 3.139 	 	 -1.718 
528.700 	 -0.995 	 0.101 	 3.041 	 	 -1.968 
528.750 	 -0.978 	 0.207 	 2.933 	 	 -2.144 
528.800 	 -0.949 	 0.315 	 2.821 	 	 -2.240 
528.850 	 -0.908 	 0.420 	 2.709 	 	 -2.256 
528.900 	 -0.856 	 0.516 	 2.599 	 	 -2.193 
528.950 	 -0.799 	 0.602 	 2.496 	 	 -2.057 
529.000 	 -0.740 	 0.673 	 2.403 	 	 -1.857 
529.050 	 -0.683 	 0.730 	 2.323 	 	 -1.604 
529.100 	 -0.634 	 0.773 	 2.258 	 	 -1.308 
529.150 	 -0.596 	 0.803 	 2.209 	 	 -0.980 
529.200 	 -0.570 	 0.822 	 2.177 	 	 -0.629 
529.250 	 -0.559 	 0.829 	 2.164 	 	 -0.264 
529.300 	 -0.563 	 0.826 	 2.169 	 	 0.106 
529.350 	 -0.583 	 0.813 	 2.193 	 	 0.474 
529.400 	 -0.616 	 0.788 	 2.235 	 	 0.832 
529.450 	 -0.661 	 0.750 	 2.293 	 	 1.171 
529.500 	 -0.715 	 0.699 	 2.367 	 	 1.482 
529.550 	 -0.773 	 0.634 	 2.455 	 	 1.755 
529.600 	 -0.832 	 0.554 	 2.554 	 	 1.979 
529.650 	 -0.887 	 0.462 	 2.661 	 	 2.143 
529.700 	 -0.933 	 0.360 	 2.773 	 	 2.238 
529.750 	 -0.967 	 0.253 	 2.886 	 	 2.257 
529.800 	 -0.989 	 0.145 	 2.996 	 	 2.195 
529.850 	 -0.999 	 0.043 	 3.098 	 	 2.052 
529.900 	 -0.999 	 -0.048 	 3.093 	 	 1.833 
529.950 	 -0.992 	 -0.125 	 3.016 	 	 1.545 
530.000 	 -0.983 	 -0.185 	 2.956 	 	 1.200 
530.050 	 -0.975 	 -0.224 	 2.916 	 	 0.810 
530.100 	 -0.970 	 -0.243 	 2.896 	 	 0.390 
530.150 	 -0.971 	 -0.241 	 2.898 	 	 -0.044 
530.200 	 -0.976 	 -0.218 	 2.922 	 	 -0.476 
530.250 	 -0.985 	 -0.174 	 2.967 	 	 -0.891 
530.300 	 -0.994 	 -0.111 	 3.030 	 	 -1.273 
530.350 	 -1.000 	 -0.031 	 3.111 	 	 -1.608 
530.400 	 -0.998 	 0.063 	 3.078 	 	 -1.883 
530.450 	 -0.986 	 0.167 	 2.974 	 	 -2.087 
530.500 	 -0.962 	 0.275 	 2.863 	 	 -2.214 
530.550 	 -0.924 	 0.381 	 2.750 	 	 -2.259 
530.600 	 -0.876 	 0.482 	 2.639 	 	 -2.225 
530.650 	 -0.821 	 0.571 	 2.533 	 	 -2.115 
530.700 	 -0.762 	 0.648 	 2.436 	 	 -1.938 
530.750 	 -0.704 	 0.711 	 2.351 	 	 -1.704 
530.800 	 -0.651 	 0.759 	 2.280 	 	 -1.422 
530.850 	 -0.608 	 0.794 	 2.225 	 	 -1.105 
530.900 	 -0.578 	 0.816 	 2.187 	 	 -0.761 
530.950 	 -0.561 	 0.828 	 2.167 	 	 -0.401 
531.000 	 -0.560 	 0.828 	 2.165 	 	 -0.032 
531.050 	 -0.574 	 0.819 	 2.182 	 	 0.338 
531.100 	 -0.602 	 0.798 	 2.217 	 	 0.701 
531.150 	 -0.643 	 0.766 	 2.270 	 	 1.048 
531.200 	 -0.694 	 0.720 	 2.338 	 	 1.371 
531.250 	 -0.751 	 0.660 	 2.421 	 	 1.659 
531.300 	 -0.811 	 0.585 	 2.516 	 	 1.902 
531.350 	 -0.867 	 0.498 	 2.621 	 	 2.090 
531.400 	 -0.917 	 0.399 	 2.731 	 	 2.211 
531.450 	 -0.956 	 0.293 	 2.844 	 	 2.259 
531.500 	 -0.983 	 0.185 	 2.955 	 	 2.227 
531.550 	 -0.997 	 0.080 	 3.061 	 	 2.114 
531.600 	 -1.000 	 -0.016 	 3.126 	 	 1.923 
531.650 	 -0.995 	 -0.099 	 3.043 	 	 1.660 
531.700 	 -0.986 	 -0.165 	 2.976 	 	 1.334 
531.750 	 -0.977 	 -0.212 	 2.928 	 	 0.959 
531.800 	 -0.971 	 -0.239 	 2.901 	 	 0.549 
531.850 	 -0.970 	 -0.244 	 2.895 	 	 0.118 
531.900 	 -0.973 	 -0.229 	 2.911 	 	 -0.317 
531.950 	 -0.981 	 -0.193 	 2.948 	 	 -0.740 
532.000 	 -0.991 	 -0.137 	 3.004 	 	 -1.136 
532.050 	 -0.998 	 -0.063 	 3.079 	 	 -1.490 
532.100 	 -1.000 	 0.027 	 3.115 	 	 -1.789 
532.150 	 -0.992 	 0.127 	 3.014 	 	 -2.020 
532.200 	 -0.972 	 0.234 	 2.905 	 	 -2.176 
532.250 	 -0.940 	 0.342 	 2.792 	 	 -2.252 
532.300 	 -0.895 	 0.445 	 2.680 	 	 -2.247 
532.350 	 -0.842 	 0.539 	 2.572 	 	 -2.164 
532.400 	 -0.784 	 0.621 	 2.471 	 	 -2.011 
532.450 	 -0.725 	 0.689 	 2.381 	 	 -1.797 
532.500 	 -0.670 	 0.742 	 2.305 	 	 -1.532 
532.550 	 -0.623 	 0.782 	 2.243 	 	 -1.227 
532.600 	 -0.588 	 0.809 	 2.199 	 	 -0.891 
532.650 	 -0.566 	 0.825 	 2.172 	 	 -0.536 
532.700 	 -0.559 	 0.829 	 2.164 	 	 -0.169 
532.750 	 -0.567 	 0.824 	 2.174 	 	 0.201 
532.800 	 -0.590 	 0.807 	 2.202 	 	 0.567 
532.850 	 -0.627 	 0.779 	 2.248 	 	 0.921 
532.900 	 -0.674 	 0.738 	 2.311 	 	 1.254 
532.950 	 -0.730 	 0.684 	 2.389 	 	 1.556 
533.000 	 -0.789 	 0.615 	 2.480 	 	 1.818 
533.050 	 -0.847 	 0.532 	 2.581 	 	 2.027 
533.100 	 -0.900 	 0.437 	 2.690 	 	 2.174 
533.150 	 -0.943 	 0.333 	 2.802 	 	 2.250 
533.200 	 -0.974 	 0.225 	 2.915 	 	 2.249 
533.250 	 -0.993 	 0.118 	 3.023 	 	 2.166 
533.300 	 -1.000 	 0.019 	 3.123 	 	 2.003 
533.350 	 -0.998 	 -0.070 	 3.072 	 	 1.765 
533.400 	 -0.990 	 -0.142 	 2.999 	 	 1.462 
533.450 	 -0.980 	 -0.197 	 2.944 	 	 1.103 
533.500 	 -0.973 	 -0.231 	 2.908 	 	 0.704 
533.550 	 -0.970 	 -0.245 	 2.894 	 	 0.280 
533.600 	 -0.971 	 -0.237 	 2.902 	 	 -0.155 
533.650 	 -0.978 	 -0.209 	 2.932 	 	 -0.585 
533.700 	 -0.987 	 -0.160 	 2.981 	 	 -0.993 
533.750 	 -0.996 	 -0.092 	 3.049 	 	 -1.364 
533.800 	 -1.000 	 -0.008 	 3.134 	 	 -1.685 
533.850 	 -0.996 	 0.089 	 3.052 	 	 -1.942 
533.900 	 -0.981 	 0.194 	 2.946 	 	 -2.127 
533.950 	 -0.953 	 0.302 	 2.834 	 	 -2.233 
534.000 	 -0.913 	 0.408 	 2.722 	 	 -2.258 
534.050 	 -0.863 	 0.506 	 2.611 	 	 -2.204 
534.100 	 -0.806 	 0.592 	 2.508 	 	 -2.076 
534.150 	 -0.746 	 0.666 	 2.413 	 	 -1.883 
534.200 	 -0.690 	 0.724 	 2.332 	 	 -1.636 
534.250 	 -0.639 	 0.769 	 2.264 	 	 -1.344 
534.300 	 -0.599 	 0.800 	 2.213 	 	 -1.019 
534.350 	 -0.572 	 0.820 	 2.180 	 	 -0.670 
534.400 	 -0.560 	 0.829 	 2.165 	 	 -0.307 
534.450 	 -0.562 	 0.827 	 2.168 	 	 0.063 
534.500 	 -0.580 	 0.815 	 2.189 	 	 0.432 
534.550 	 -0.612 	 0.791 	 2.229 	 	 0.792 
534.600 	 -0.656 	 0.755 	 2.286 	 	 1.133 
534.650 	 -0.708 	 0.706 	 2.358 	 	 1.448 
534.700 	 -0.767 	 0.642 	 2.444 	 	 1.726 
534.750 	 -0.826 	 0.564 	 2.542 	 	 1.956 
534.800 	 -0.881 	 0.473 	 2.649 	 	 2.127 
534.850 	 -0.928 	 0.372 	 2.760 	 	 2.231 
534.900 	 -0.964 	 0.265 	 2.873 	 	 2.259 
534.950 	 -0.987 	 0.158 	 2.983 	 	 2.206 
535.000 	 -0.999 	 0.055 	 3.087 	 	 2.073 
535.050 	 -0.999 	 -0.038 	 3.103 	 	 1.862 
535.100 	 -0.993 	 -0.117 	 3.024 	 	 1.582 
535.150 	 -0.984 	 -0.179 	 2.962 	 	 1.242 
535.200 	 -0.975 	 -0.221 	 2.919 	 	 0.857 
535.250 	 -0.970 	 -0.242 	 2.897 	 	 0.440 
535.300 	 -0.970 	 -0.242 	 2.897 	 	 0.006 
535.350 	 -0.975 	 -0.222 	 2.918 	 	 -0.427 
535.400 	 -0.984 	 -0.180 	 2.960 	 	 -0.845 
535.450 	 -0.993 	 -0.119 	 3.022 	 	 -1.231 
535.500 	 -0.999 	 -0.041 	 3.101 	 	 -1.572 
535.550 	 -0.999 	 0.052 	 3.090 	 	 -1.855 
535.600 	 -0.988 	 0.154 	 2.986 	 	 -2.068 
535.650 	 -0.965 	 0.262 	 2.876 	 	 -2.203 
535.700 	 -0.929 	 0.369 	 2.763 	 	 -2.258 
535.750 	 -0.882 	 0.470 	 2.652 	 	 -2.233 
535.800 	 -0.827 	 0.562 	 2.545 	 	 -2.132 
535.850 	 -0.768 	 0.640 	 2.447 	 	 -1.962 
535.900 	 -0.710 	 0.704 	 2.360 	 	 -1.733 
535.950 	 -0.657 	 0.754 	 2.288 	 	 -1.457 
536.000 	 -0.613 	 0.790 	 2.230 	 	 -1.143 
536.050 	 -0.581 	 0.814 	 2.190 	 	 -0.802 
536.100 	 -0.562 	 0.827 	 2.168 	 	 -0.443 
536.150 	 -0.559 	 0.829 	 2.164 	 	 -0.074 
536.200 	 -0.572 	 0.821 	 2.179 	 	 0.296 
536.250 	 -0.598 	 0.801 	 2.212 	 	 0.659 
536.300 	 -0.638 	 0.770 	 2.263 	 	 1.009 
536.350 	 -0.688 	 0.726 	 2.329 	 	 1.335 
536.400 	 -0.745 	 0.667 	 2.411 	 	 1.628 
536.450 	 -0.804 	 0.595 	 2.505 	 	 1.877 
536.500 	 -0.861 	 0.508 	 2.608 	 	 2.071 
536.550 	 -0.912 	 0.411 	 2.718 	 	 2.201 
536.600 	 -0.952 	 0.306 	 2.831 	 	 2.257 
536.650 	 -0.980 	 0.197 	 2.943 	 	 2.235 
536.700 	 -0.996 	 0.092 	 3.049 	 	 2.132 
536.750 	 -1.000 	 -0.005 	 3.136 	 	 1.949 
536.800 	 -0.996 	 -0.090 	 3.052 	 	 1.693 
536.850 	 -0.987 	 -0.158 	 2.983 	 	 1.375 
536.900 	 -0.978 	 -0.207 	 2.933 	 	 1.004 
536.950 	 -0.972 	 -0.237 	 2.903 	 	 0.597 
537.000 	 -0.970 	 -0.245 	 2.894 	 	 0.168 
537.050 	 -0.973 	 -0.232 	 2.908 	 	 -0.267 
537.100 	 -0.980 	 -0.198 	 2.942 	 	 -0.692 
537.150 	 -0.990 	 -0.144 	 2.997 	 	 -1.092 
537.200 	 -0.997 	 -0.072 	 3.070 	 	 -1.452 
537.250 	 -1.000 	 0.016 	 3.126 	 	 -1.757 
537.300 	 -0.993 	 0.115 	 3.026 	 	 -1.997 
537.350 	 -0.975 	 0.222 	 2.918 	 	 -2.162 
537.400 	 -0.944 	 0.330 	 2.805 	 	 -2.247 
537.450 	 -0.901 	 0.434 	 2.693 	 	 -2.251 
537.500 	 -0.849 	 0.529 	 2.584 	 	 -2.178 
537.550 	 -0.790 	 0.612 	 2.482 	 	 -2.032 
537.600 	 -0.731 	 0.682 	 2.391 	 	 -1.825 
537.650 	 -0.676 	 0.737 	 2.313 	 	 -1.565 
537.700 	 -0.628 	 0.778 	 2.250 	 	 -1.263 
537.750 	 -0.591 	 0.807 	 2.203 	 	 -0.931 
537.800 	 -0.568 	 0.823 	 2.174 	 	 -0.578 
537.850 	 -0.559 	 0.829 	 2.164 	 	 -0.212 
537.900 	 -0.565 	 0.825 	 2.172 	 	 0.158 
537.950 	 -0.587 	 0.810 	 2.198 	 	 0.525 
538.000 	 -0.622 	 0.783 	 2.242 	 	 0.881 
538.050 	 -0.668 	 0.744 	 2.303 	 	 1.217 
538.100 	 -0.723 	 0.691 	 2.379 	 	 1.523 
538.150 	 -0.782 	 0.623 	 2.468 	 	 1.790 
538.200 	 -0.840 	 0.542 	 2.569 	 	 2.006 
538.250 	 -0.894 	 0.448 	 2.677 	 	 2.161 
538.300 	 -0.938 	 0.345 	 2.789 	 	 2.245 
538.350 	 -0.971 	 0.238 	 2.902 	 	 2.253 
538.400 	 -0.991 	 0.131 	 3.011 	 	 2.179 
538.450 	 -1.000 	 0.030 	 3.112 	 	 2.026 
